2026-02-16 16:45:10,788 | INFO | pipeline | SUCCESS merchant_id=M049
2026-02-16 16:45:10,793 | INFO | pipeline | SUCCESS merchant_id=M050
2026-02-16 16:45:10,807 | INFO | pipeline | Fetched internal risk for 50 merchants
2026-02-16 16:45:10,808 | INFO | pipeline | [STEP 6/10] Building enriched dataset
2026-02-16 16:45:10,839 | INFO | pipeline | Final dataset size: 50
2026-02-16 16:45:10,849 | INFO | pipeline | [STEP 7/10] Waiting for PDF processing to complete
2026-02-16 16:45:10,850 | INFO | pipeline | Extracted 649 characters from PDF
2026-02-16 16:45:10,850 | INFO | pipeline | [STEP 8/10] Scraping claritypay.com
2026-02-16 16:45:10,852 | INFO | pipeline | Loading existing scrape data from output\claritypay_site_data.json
2026-02-16 16:45:10,863 | INFO | pipeline | Website data saved output\claritypay_site_data.json
2026-02-16 16:45:10,867 | INFO | pipeline | [STEP 9/10] Saving outputs
2026-02-16 16:45:10,908 | INFO | pipeline | Dataset saved output\enriched_merchants.csv
2026-02-16 16:45:10,922 | INFO | pipeline | PDF text saved output\merchant_summary.txt
2026-02-16 16:45:10,923 | INFO | pipeline | [STEP 10/10] Building underwriting feature view
2026-02-16 16:45:10,983 | INFO | pipeline | Underwriting feature view saved output\underwriting_features.csv
2026-02-16 16:45:10,984 | INFO | pipeline | Data pipeline complete — returning datasets to caller
